Date,Open,High,Low,Close,Adj Close,Volume
2018-11-16,180.800003,181.899994,178.149994,179.399994,179.399994,1319503
2018-11-19,180.649994,184.949997,179.100006,184.300003,184.300003,1118238
2018-11-20,184.300003,188.399994,182.899994,183.300003,183.300003,1444305
2018-11-21,184.850006,186.75,183.699997,184.149994,184.149994,646958
2018-11-22,185.0,186.0,181.600006,182.25,182.25,626743
2018-11-26,184.449997,184.550003,177.100006,181.699997,181.699997,936014
2018-11-27,182.300003,184.399994,178.899994,180.0,180.0,1052579
2018-11-28,181.300003,181.300003,173.850006,174.350006,174.350006,1014498
2018-11-29,177.0,179.25,173.649994,177.300003,177.300003,1002480
2018-11-30,173.5,175.0,170.5,171.949997,171.949997,1337665
2018-12-03,173.699997,176.449997,170.199997,175.399994,175.399994,1611389
2018-12-04,177.800003,178.800003,175.149994,175.699997,175.699997,1126357
2018-12-05,173.75,173.75,168.699997,169.199997,169.199997,1552579
2018-12-06,168.949997,168.949997,161.399994,162.399994,162.399994,2258828
2018-12-07,162.600006,164.199997,160.75,162.449997,162.449997,1796914
2018-12-10,160.550003,160.550003,156.100006,156.850006,156.850006,1341719
2018-12-11,155.199997,159.600006,154.699997,158.199997,158.199997,1253737
2018-12-12,159.899994,167.0,158.0,163.899994,163.899994,2100354
2018-12-13,166.699997,167.949997,165.649994,166.449997,166.449997,1422425
2018-12-14,166.800003,168.350006,164.800003,166.899994,166.899994,1259628
2018-12-17,167.399994,175.899994,167.300003,173.75,173.75,2385851
2018-12-18,174.0,177.600006,173.199997,174.399994,174.399994,1719778
2018-12-19,176.0,176.399994,172.5,173.649994,173.649994,1074104
2018-12-20,173.600006,177.300003,171.899994,175.949997,175.949997,1802609
2018-12-21,177.300003,180.449997,175.100006,175.899994,175.899994,2535465
2018-12-24,176.5,178.0,171.449997,172.300003,172.300003,1471189
2018-12-26,172.0,172.149994,167.699997,170.899994,170.899994,1321451
2018-12-27,173.0,173.300003,168.050003,168.800003,168.800003,1137412
2018-12-28,169.899994,172.149994,169.199997,170.800003,170.800003,984514
2018-12-31,172.600006,173.899994,171.899994,172.600006,172.600006,536131
2019-01-01,173.699997,174.300003,171.350006,173.600006,173.600006,508944
